Primary Energy Supply - Energy budget per year
Value = 'Million toe (tonne oil equivalent)'
Origin: https://data.oecd.org/energy/primary-energy-supply.htm#indicator-chart
Citation: OECD (2022), Primary energy supply (indicator). doi: 10.1787/1b33c15a-en (Accessed on 09 March 2022)

LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,Region
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1960,31.48,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1961,32.66,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1962,34.08,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1963,35.96,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1964,37.4,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1965,39.44,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1966,41.32,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1967,43.57,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1968,45.2,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1969,46.51,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1970,50.82,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1971,51.61,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1972,53.17,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1973,57.06,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1974,58.93,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1975,60.38,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1976,61.83,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1977,66.3,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1978,66.47,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1979,67.98,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1980,69.61,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1981,70.08,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1982,73.12,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1983,70.01,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1984,72.31,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1985,72.88,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1986,74.0,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1987,77.47,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1988,79.03,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1989,84.03,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1990,86.14,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1991,85.12,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1992,86.7,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1993,91.19,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1994,91.3,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1995,92.51,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1996,98.96,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1997,101.28,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1998,103.92,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,1999,106.19,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2000,108.11,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2001,105.75,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2002,109.46,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2003,110.74,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2004,112.66,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2005,113.48,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2006,117.94,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2007,121.17,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2008,125.75,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2009,125.93,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2010,126.24,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2011,126.97,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2012,125.58,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2013,127.39,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2014,126.76,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2015,126.59,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2016,126.39,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2017,127.88,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2018,128.72,,East Asia & Pacific
AUS,PRYENRGSUPPLY,TOT,MLN_TOE,A,2019,128.74,,East Asia & Pacific
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1960,10.9,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1961,11.01,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1962,11.95,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1963,13.09,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1964,13.4,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1965,13.46,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1966,13.93,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1967,14.17,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1968,15.17,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1969,16.23,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1970,18.06,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1971,18.82,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1972,19.82,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1973,21.48,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1974,20.75,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1975,20.12,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1976,21.69,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1977,21.17,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1978,21.88,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1979,23.7,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1980,23.16,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1981,21.93,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1982,21.44,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1983,21.5,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1984,22.34,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1985,23.09,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1986,23.18,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1987,24.05,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1988,24.31,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1989,23.92,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1990,24.88,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1991,26.49,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1992,25.45,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1993,25.74,,Europe & Central Asia
AUT,PRYENRGSUPPLY,TOT,MLN_TOE,A,1994,25.67,,Europe & Central Asia
