Renewable Energy Indicator
Value = 'Thousand toe (tonne oil equivalent)'
Origin: https://data.oecd.org/energy/renewable-energy.htm#indicator-chart
Citation: OECD (2022), Renewable energy (indicator). doi: 10.1787/aac7c3f1-en (Accessed on 09 March 2022)

LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,Region
AUS,RENEWABLE,TOT,KTOE,A,1960,4437.6564,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1961,4491.2248,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1962,4407.7864,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1963,4629.4163,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1964,4498.0414,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1965,4716.7717,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1966,4446.0065,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1967,4575.2651,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1968,4472.9913,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1969,4526.4689,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1970,4304.5237,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1971,4553.9935,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1972,4623.5025,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1973,4509.1621,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1974,4816.5663,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1975,4962.9406,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1976,5015.9788,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1977,4853.855,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1978,4882.8747,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1979,4880.8731,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1980,4745.6816,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1981,5063.2129,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1982,5173.4642,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1983,5006.5492,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1984,4912.525,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1985,5165.7639,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1986,4729.3445,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1987,4700.8025,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1988,4809.8022,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1989,4981.7283,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1990,5074.1807,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1991,5192.7868,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1992,4728.0357,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1993,5482.5403,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1994,5382.1582,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1995,5531.4035,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1996,6109.3292,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1997,6399.0924,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1998,6184.6136,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,1999,6269.251,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,2000,6353.5778,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,2001,6478.5325,,East Asia & Pacific
AUS,RENEWABLE,TOT,KTOE,A,2002,6755.8183,,East Asia & Pacific
